record_id,customer_email,phone_number,ssn,full_name,order_id,product_name,price,quantity,category,city,country,customer_age_group,payment_method,order_date,pii_violation_label
1,christina.moore@gmail.com,***-***-****,***-**-****,Christina Moore,ORD-000001,Wallet,29.99,1,Accessories,San Antonio,Mexico,18-24,Google Pay,2024-08-04,PII_VIOLATION
2,N/A,N/A,N/A,Anonymous,ORD-000002,Vitamin Pack,24.99,3,Health,Indianapolis,Brazil,55-64,PayPal,2024-01-04,NO_VIOLATION
3,***@***.com,555-881-6514,***-**-****,Kimberly Lopez,ORD-000003,iPad Air,599.99,8,Electronics,Memphis,France,55-64,PayPal,2024-01-23,PII_VIOLATION
4,***@***.com,555-949-6925,***-**-****,William Watson,ORD-000004,MacBook Pro,1299.99,2,Electronics,Honolulu,Australia,35-44,Credit Card,2024-04-29,PII_VIOLATION
5,C***@***.com,***-***-****,***-**-****,C. C.,ORD-000005,Backpack,49.99,9,Bags,Anaheim,Canada,55-64,Bank Transfer,2024-03-28,NO_VIOLATION
6,N/A,N/A,N/A,Anonymous,ORD-000006,Canon Camera,749.99,4,Electronics,Chicago,France,45-54,PayPal,2024-02-03,NO_VIOLATION
7,user_57447@anon.com,555-324-XXXX,XXX-XX-3266,Customer_9348,ORD-000007,Canon Camera,749.99,7,Electronics,Riverside,Mexico,55-64,PayPal,2024-10-26,NO_VIOLATION
8,user_79352@anon.com,555-357-XXXX,XXX-XX-1188,Customer_2876,ORD-000008,Watch,199.99,7,Accessories,Anaheim,Japan,55-64,Credit Card,2024-07-16,NO_VIOLATION
9,***@***.com,***-***-****,***-**-****,REDACTED,ORD-000009,Dell Laptop,849.99,9,Electronics,Fresno,USA,65+,Bank Transfer,2024-05-14,NO_VIOLATION
10,C***@work.net,***-***-****,880-30-9837,Carl Nelson,ORD-000010,Sunglasses,59.99,1,Accessories,Oakland,USA,55-64,PayPal,2024-09-07,PII_VIOLATION
11,***@***.com,555-999-2290,***-**-****,Kevin Davis,ORD-000011,Sunglasses,59.99,9,Accessories,Minneapolis,UK,25-34,Bank Transfer,2024-08-31,PII_VIOLATION
12,victoria.reed@company.com,555-652-4295,830-49-7537,Victoria Reed,ORD-000012,Office Chair,299.99,2,Office,Tampa,France,45-54,Google Pay,2024-08-19,PII_VIOLATION
13,***@***.com,555-702-4608,***-**-****,Angela Williams,ORD-000013,Canon Camera,749.99,4,Electronics,Phoenix,USA,35-44,Credit Card,2024-09-20,PII_VIOLATION
14,donna.james@email.com,555-840-8744,348-70-7669,Donna James,ORD-000014,Sony Headphones,199.99,7,Electronics,San Antonio,Canada,65+,Apple Pay,2024-06-30,PII_VIOLATION
15,jose.thomas@gmail.com,***-***-****,***-**-****,Jose Thomas,ORD-000015,Sony Headphones,199.99,3,Electronics,Columbus,Mexico,45-54,Debit Card,2024-08-04,PII_VIOLATION
16,***@***.com,555-151-9856,***-**-****,Maria Morgan,ORD-000016,T-Shirt,19.99,8,Clothing,Lexington,Australia,25-34,Apple Pay,2024-09-05,PII_VIOLATION
17,lisa.harris@hotmail.com,***-***-****,***-**-****,Lisa Harris,ORD-000017,Vitamin Pack,24.99,3,Health,Aurora,Mexico,65+,Bank Transfer,2024-09-06,PII_VIOLATION
18,lisa.price@gmail.com,555-865-6138,158-16-8811,Lisa Price,ORD-000018,Blender,59.99,3,Kitchen,Oakland,UK,18-24,Google Pay,2024-02-11,PII_VIOLATION
19,J***@company.com,***-***-****,692-86-1651,Jose Wright,ORD-000019,Textbook,79.99,9,Books,Philadelphia,Japan,65+,Google Pay,2024-10-16,PII_VIOLATION
20,***@***.com,***-***-****,***-**-****,REDACTED,ORD-000020,Coffee Maker,79.99,10,Kitchen,El Paso,Canada,18-24,Apple Pay,2024-11-14,NO_VIOLATION
21,***@***.com,***-***-****,***-**-****,REDACTED,ORD-000021,Bose Speaker,349.99,10,Electronics,Austin,Brazil,55-64,Bank Transfer,2024-06-03,NO_VIOLATION
22,E***@company.com,***-***-****,999-27-5333,Evelyn Watson,ORD-000022,iPad Air,599.99,10,Electronics,San Antonio,Mexico,25-34,PayPal,2024-05-24,PII_VIOLATION
23,***@***.com,555-357-1832,***-**-****,Judith Nguyen,ORD-000023,Jacket,89.99,5,Clothing,Denver,USA,18-24,PayPal,2024-03-07,PII_VIOLATION
24,D***@gmail.com,***-***-****,807-29-9938,Dennis Reed,ORD-000024,MacBook Pro,1299.99,3,Electronics,Portland,India,55-64,Debit Card,2024-08-08,PII_VIOLATION
25,***@***.com,***-***-****,***-**-****,REDACTED,ORD-000025,Textbook,79.99,3,Books,Riverside,UK,25-34,Crypto,2024-03-24,NO_VIOLATION
26,mark.perez@hotmail.com,***-***-****,***-**-****,Mark Perez,ORD-000026,Protein Powder,49.99,6,Health,Chicago,Brazil,25-34,Debit Card,2024-08-23,PII_VIOLATION
27,***@***.com,***-***-****,***-**-****,REDACTED,ORD-000027,Yoga Mat,29.99,6,Sports,Tampa,Mexico,45-54,Bank Transfer,2024-10-01,NO_VIOLATION
28,A***@***.com,***-***-****,***-**-****,A. C.,ORD-000028,Wallet,29.99,7,Accessories,El Paso,Japan,55-64,Google Pay,2024-02-29,NO_VIOLATION
29,***@***.com,***-***-****,***-**-****,REDACTED,ORD-000029,Yoga Mat,29.99,6,Sports,Albuquerque,Canada,65+,PayPal,2024-11-15,NO_VIOLATION
30,N/A,N/A,N/A,Anonymous,ORD-000030,Toaster Oven,69.99,3,Kitchen,Dallas,Australia,45-54,Bank Transfer,2024-07-13,NO_VIOLATION
31,L***@***.com,***-***-****,***-**-****,L. W.,ORD-000031,Coffee Maker,79.99,8,Kitchen,Tucson,Brazil,65+,Debit Card,2024-09-18,NO_VIOLATION
32,***@***.com,***-***-****,***-**-****,REDACTED,ORD-000032,Canon Camera,749.99,8,Electronics,Columbus,UK,18-24,Credit Card,2024-05-05,NO_VIOLATION
33,***@***.com,555-835-7291,***-**-****,Raymond Rogers,ORD-000033,Samsung TV,1499.99,4,Electronics,Tampa,USA,18-24,Crypto,2024-08-05,PII_VIOLATION
34,user_81810@anon.com,555-556-XXXX,XXX-XX-3607,Customer_8777,ORD-000034,Office Chair,299.99,10,Office,Oakland,Mexico,55-64,PayPal,2024-08-14,NO_VIOLATION
35,S***@work.com,***-***-****,884-76-8939,Samantha Nguyen,ORD-000035,Desk Lamp,34.99,5,Office,San Francisco,Germany,45-54,Credit Card,2024-12-31,PII_VIOLATION
36,helen.anderson@email.com,555-254-4788,492-98-3503,Helen Anderson,ORD-000036,Backpack,49.99,9,Bags,Charlotte,Canada,45-54,Apple Pay,2024-06-18,PII_VIOLATION
37,***@***.com,555-888-1320,***-**-****,Andrew Rogers,ORD-000037,Air Fryer,99.99,7,Kitchen,New York,France,35-44,Crypto,2024-07-18,PII_VIOLATION
38,***@***.com,***-***-****,***-**-****,REDACTED,ORD-000038,Protein Powder,49.99,3,Health,Detroit,Japan,65+,Debit Card,2024-08-27,NO_VIOLATION
39,***@***.com,555-185-8022,***-**-****,Eric Bennett,ORD-000039,MacBook Pro,1299.99,6,Electronics,Seattle,Japan,35-44,Debit Card,2024-08-20,PII_VIOLATION
40,K***@***.com,***-***-****,***-**-****,K. R.,ORD-000040,MacBook Pro,1299.99,1,Electronics,Memphis,Australia,65+,Credit Card,2024-11-29,NO_VIOLATION
41,***@***.com,***-***-****,***-**-****,REDACTED,ORD-000041,Novel Book,14.99,3,Books,Charlotte,Brazil,65+,PayPal,2024-07-07,NO_VIOLATION
42,P***@yahoo.com,***-***-****,419-83-7149,Paul Baker,ORD-000042,Protein Powder,49.99,4,Health,Santa Ana,Australia,18-24,Google Pay,2024-12-19,PII_VIOLATION
43,H***@outlook.com,***-***-****,777-57-2129,Harold Garcia,ORD-000043,Blender,59.99,8,Kitchen,Tampa,France,18-24,Crypto,2024-08-03,PII_VIOLATION
44,adam.lopez@hotmail.com,***-***-****,***-**-****,Adam Lopez,ORD-000044,Sunglasses,59.99,5,Accessories,Sacramento,Brazil,45-54,Crypto,2024-10-30,PII_VIOLATION
45,P***@work.com,***-***-****,683-88-7209,Patricia Flores,ORD-000045,Running Shoes,89.99,4,Sports,Los Angeles,Brazil,35-44,Debit Card,2024-09-06,PII_VIOLATION
46,user_68743@anon.com,555-911-XXXX,XXX-XX-1282,Customer_2524,ORD-000046,Canon Camera,749.99,8,Electronics,Corpus Christi,Japan,45-54,Google Pay,2024-05-03,NO_VIOLATION
47,***@***.com,555-808-4986,***-**-****,Amanda Young,ORD-000047,Air Fryer,99.99,6,Kitchen,Tulsa,Mexico,35-44,Apple Pay,2024-10-08,PII_VIOLATION
48,N/A,N/A,N/A,Anonymous,ORD-000048,iPad Air,599.99,4,Electronics,Riverside,Mexico,65+,Debit Card,2024-04-08,NO_VIOLATION
49,nathan.bennett@work.net,555-202-4180,403-39-6912,Nathan Bennett,ORD-000049,Dell Laptop,849.99,5,Electronics,Nashville,USA,65+,Google Pay,2024-03-05,PII_VIOLATION
50,user_24953@anon.com,555-941-XXXX,XXX-XX-2070,Customer_7565,ORD-000050,Air Fryer,99.99,5,Kitchen,Sacramento,Brazil,35-44,Debit Card,2024-01-27,NO_VIOLATION
51,F***@***.com,***-***-****,***-**-****,F. M.,ORD-000051,AirPods Pro,249.99,10,Electronics,San Francisco,Canada,55-64,Crypto,2024-08-01,NO_VIOLATION
52,N/A,N/A,N/A,Anonymous,ORD-000052,Bose Speaker,349.99,4,Electronics,Cleveland,India,18-24,Google Pay,2024-02-20,NO_VIOLATION
53,S***@work.net,***-***-****,665-19-3564,Sean Anderson,ORD-000053,Galaxy S24,899.99,5,Electronics,Milwaukee,Brazil,65+,Google Pay,2024-08-28,PII_VIOLATION
54,***@***.com,***-***-****,***-**-****,REDACTED,ORD-000054,Vitamin Pack,24.99,5,Health,San Diego,Mexico,25-34,Bank Transfer,2024-03-17,NO_VIOLATION
55,***@***.com,555-709-5728,***-**-****,Lisa Harris,ORD-000055,Backpack,49.99,8,Bags,Nashville,Japan,35-44,Google Pay,2024-10-03,PII_VIOLATION
56,J***@***.com,***-***-****,***-**-****,J. C.,ORD-000056,Office Chair,299.99,5,Office,Cleveland,India,18-24,Crypto,2024-12-10,NO_VIOLATION
57,N/A,N/A,N/A,Anonymous,ORD-000057,AirPods Pro,249.99,2,Electronics,Sacramento,France,45-54,PayPal,2024-06-13,NO_VIOLATION
58,***@***.com,***-***-****,***-**-****,REDACTED,ORD-000058,Coffee Maker,79.99,7,Kitchen,Philadelphia,France,35-44,PayPal,2024-02-29,NO_VIOLATION
59,sean.james@outlook.com,***-***-****,***-**-****,Sean James,ORD-000059,Textbook,79.99,4,Books,Lexington,Brazil,65+,Apple Pay,2024-01-27,PII_VIOLATION
60,matthew.morgan@outlook.com,555-224-1472,745-87-4920,Matthew Morgan,ORD-000060,Backpack,49.99,7,Bags,Austin,Germany,55-64,Credit Card,2024-10-09,PII_VIOLATION
61,***@***.com,555-610-5781,***-**-****,Christine Martin,ORD-000061,Jacket,89.99,3,Clothing,Sacramento,Brazil,25-34,Apple Pay,2024-10-09,PII_VIOLATION
62,user_29476@anon.com,555-557-XXXX,XXX-XX-9824,Customer_8935,ORD-000062,Jacket,89.99,10,Clothing,New York,Germany,65+,PayPal,2024-10-27,NO_VIOLATION
63,user_60604@anon.com,555-779-XXXX,XXX-XX-3492,Customer_9115,ORD-000063,Novel Book,14.99,8,Books,Las Vegas,Australia,45-54,Credit Card,2024-06-11,NO_VIOLATION
64,R***@work.com,***-***-****,995-66-2633,Robert Jackson,ORD-000064,Blender,59.99,3,Kitchen,Fresno,USA,65+,Debit Card,2024-07-28,PII_VIOLATION
65,K***@company.com,***-***-****,972-96-9742,Kelly Collins,ORD-000065,Protein Powder,49.99,2,Health,El Paso,Brazil,55-64,Credit Card,2024-11-12,PII_VIOLATION
66,***@***.com,555-200-2646,***-**-****,Frances Taylor,ORD-000066,Sneakers,79.99,5,Clothing,Los Angeles,USA,35-44,Crypto,2024-01-29,PII_VIOLATION
67,***@***.com,555-679-3950,***-**-****,Daniel Scott,ORD-000067,Textbook,79.99,10,Books,Las Vegas,India,65+,Debit Card,2024-09-11,PII_VIOLATION
68,***@***.com,555-361-1153,***-**-****,Christina Torres,ORD-000068,Office Chair,299.99,10,Office,Minneapolis,UK,18-24,Apple Pay,2024-06-25,PII_VIOLATION
69,N/A,N/A,N/A,Anonymous,ORD-000069,iPad Air,599.99,5,Electronics,San Francisco,Japan,55-64,PayPal,2024-10-21,NO_VIOLATION
70,M***@***.com,***-***-****,***-**-****,M. C.,ORD-000070,Sunglasses,59.99,4,Accessories,Indianapolis,India,35-44,Debit Card,2024-11-21,NO_VIOLATION
71,***@***.com,555-416-8222,***-**-****,Carl Thomas,ORD-000071,Wallet,29.99,3,Accessories,Dallas,Canada,35-44,PayPal,2024-07-31,PII_VIOLATION
72,user_83048@anon.com,555-474-XXXX,XXX-XX-2479,Customer_7464,ORD-000072,Wallet,29.99,4,Accessories,Detroit,Canada,45-54,Credit Card,2024-03-13,NO_VIOLATION
73,***@***.com,555-565-7038,***-**-****,Sarah Nguyen,ORD-000073,Novel Book,14.99,8,Books,Las Vegas,France,18-24,Bank Transfer,2024-04-29,PII_VIOLATION
74,***@***.com,***-***-****,***-**-****,REDACTED,ORD-000074,Desk Lamp,34.99,5,Office,Milwaukee,Canada,25-34,Credit Card,2024-01-20,NO_VIOLATION
75,N/A,N/A,N/A,Anonymous,ORD-000075,Vitamin Pack,24.99,8,Health,Wichita,UK,45-54,Bank Transfer,2024-02-20,NO_VIOLATION
76,robert.parker@company.com,555-554-8285,341-56-2627,Robert Parker,ORD-000076,Office Chair,299.99,7,Office,Portland,Mexico,65+,PayPal,2024-02-01,PII_VIOLATION
77,R***@***.com,***-***-****,***-**-****,R. T.,ORD-000077,Samsung TV,1499.99,4,Electronics,Cleveland,Australia,18-24,Crypto,2024-10-10,NO_VIOLATION
